YEAR,WEEK,% WEIGHTED ILI,ILITOTAL,TOTAL PATIENTS,t_week
2018,1,5.77543,47282,879802,0
2018,2,5.9083,56922,1026852,1
2018,3,6.49095,62937,992379,2
2018,4,7.17799,77468,1098998,3
2018,5,7.52851,86095,1104089,4
2018,6,7.38424,87646,1125265,5
2018,7,6.46068,75987,1111598,6
2018,8,4.95341,52961,1023689,7
2018,9,3.67274,35932,1011645,8
2018,10,3.2037,29109,965961,9
2018,11,2.78869,25928,946753,10
2018,12,2.50234,23785,957380,11
2018,13,2.41065,20696,874750,12
2018,14,2.07542,19067,937849,13
2018,15,1.78234,16672,923041,14
2018,16,1.61608,14892,936850,15
2018,17,1.53992,14572,945759,16
2018,18,1.53115,13273,913326,17
2018,19,1.29599,11617,905868,18
2018,20,1.18904,11067,903948,19
2018,21,1.24941,10646,862825,20
2018,22,1.14134,9608,785022,21
2018,23,0.988567,8688,828488,22
2018,24,0.895433,7570,772937,23
2018,25,0.892227,7374,777692,24
2018,26,0.877636,6932,798856,25
2018,27,0.77502,6249,759335,26
2018,28,0.725956,6502,841809,27
2018,29,0.68266,5786,817849,28
2018,30,0.640527,5496,800573,29
2018,31,0.64106,5617,815725,30
2018,32,0.706465,5864,796639,31
2018,33,0.708668,6542,811337,32
2018,34,0.825743,7309,765973,33
2018,35,0.864409,8117,843545,34
2018,36,1.10114,9536,835370,35
2018,37,1.15244,10063,877135,36
2018,38,1.20257,11190,852916,37
2018,39,1.25033,11714,850685,38
2018,40,1.41846,17839,1252483,39
2018,41,1.40418,18561,1252846,40
2018,42,1.47401,19930,1249933,41
2018,43,1.64257,21616,1251776,42
2018,44,1.79275,23154,1254812,43
2018,45,1.87043,24073,1246860,44
2018,46,1.98387,24347,1164292,45
2018,47,2.24169,24612,1020898,46
2018,48,2.14883,29080,1292335,47
2018,49,2.25531,28356,1230419,48
2018,50,2.64571,33098,1209022,49
2018,51,3.14075,38236,1177786,50
2018,52,3.97127,43904,1047161,51
2019,1,3.46125,42094,1158023,52
2019,2,3.07707,38752,1233836,53
2019,3,3.32915,41109,1221478,54
2019,4,3.81999,46113,1184495,55
